kickoff_order,espn_event_id,stage_zh,group,beijing_datetime,beijing_date,beijing_time,beijing_weekday,home_team,home_team_zh,away_team,away_team_zh,fixture,fixture_zh,home_score,away_score,result,status_state,status_zh,status_detail,venue,city,country,utc_datetime
76,760488,1/16决赛,,2026-06-30T09:00:00+08:00,2026-06-30,09:00,周二,Netherlands,荷兰,Morocco,摩洛哥,Netherlands vs Morocco,荷兰 vs 摩洛哥,,,,pre,未开赛,"Mon, June 29th at 9:00 PM EDT",Estadio BBVA,Guadalupe,Mexico,2026-06-30T01:00Z
77,760490,1/16决赛,,2026-07-01T01:00:00+08:00,2026-07-01,01:00,周三,Ivory Coast,科特迪瓦,Norway,挪威,Ivory Coast vs Norway,科特迪瓦 vs 挪威,,,,pre,未开赛,"Tue, June 30th at 1:00 PM EDT",AT&T Stadium,"Arlington, Texas",USA,2026-06-30T17:00Z
78,760492,1/16决赛,,2026-07-01T05:00:00+08:00,2026-07-01,05:00,周三,France,法国,Sweden,瑞典,France vs Sweden,法国 vs 瑞典,,,,pre,未开赛,"Tue, June 30th at 5:00 PM EDT",MetLife Stadium,"East Rutherford, New Jersey",USA,2026-06-30T21:00Z
79,760491,1/16决赛,,2026-07-01T09:00:00+08:00,2026-07-01,09:00,周三,Mexico,墨西哥,Ecuador,厄瓜多尔,Mexico vs Ecuador,墨西哥 vs 厄瓜多尔,,,,pre,未开赛,"Tue, June 30th at 9:00 PM EDT",Estadio Banorte,Mexico City,Mexico,2026-07-01T01:00Z
80,760495,1/16决赛,,2026-07-02T00:00:00+08:00,2026-07-02,00:00,周四,England,英格兰,Congo DR,刚果(金),England vs Congo DR,英格兰 vs 刚果(金),,,,pre,未开赛,"Wed, July 1st at 12:00 PM EDT",Mercedes-Benz Stadium,"Atlanta, Georgia",USA,2026-07-01T16:00Z
81,760493,1/16决赛,,2026-07-02T04:00:00+08:00,2026-07-02,04:00,周四,Belgium,比利时,Senegal,塞内加尔,Belgium vs Senegal,比利时 vs 塞内加尔,,,,pre,未开赛,"Wed, July 1st at 4:00 PM EDT",Lumen Field,"Seattle, Washington",USA,2026-07-01T20:00Z
82,760494,1/16决赛,,2026-07-02T08:00:00+08:00,2026-07-02,08:00,周四,United States,美国,Bosnia-Herzegovina,波黑,United States vs Bosnia-Herzegovina,美国 vs 波黑,,,,pre,未开赛,"Wed, July 1st at 8:00 PM EDT",Levi's Stadium,"Santa Clara, California",USA,2026-07-02T00:00Z
83,760497,1/16决赛,,2026-07-03T03:00:00+08:00,2026-07-03,03:00,周五,Spain,西班牙,Austria,奥地利,Spain vs Austria,西班牙 vs 奥地利,,,,pre,未开赛,"Thu, July 2nd at 3:00 PM EDT",SoFi Stadium,"Inglewood, California",USA,2026-07-02T19:00Z
84,760496,1/16决赛,,2026-07-03T07:00:00+08:00,2026-07-03,07:00,周五,Portugal,葡萄牙,Croatia,克罗地亚,Portugal vs Croatia,葡萄牙 vs 克罗地亚,,,,pre,未开赛,"Thu, July 2nd at 7:00 PM EDT",BMO Field,Toronto,Canada,2026-07-02T23:00Z
85,760498,1/16决赛,,2026-07-03T11:00:00+08:00,2026-07-03,11:00,周五,Switzerland,瑞士,Algeria,阿尔及利亚,Switzerland vs Algeria,瑞士 vs 阿尔及利亚,,,,pre,未开赛,"Thu, July 2nd at 11:00 PM EDT",BC Place,Vancouver,Canada,2026-07-03T03:00Z
86,760499,1/16决赛,,2026-07-04T02:00:00+08:00,2026-07-04,02:00,周六,Australia,澳大利亚,Egypt,埃及,Australia vs Egypt,澳大利亚 vs 埃及,,,,pre,未开赛,"Fri, July 3rd at 2:00 PM EDT",AT&T Stadium,"Arlington, Texas",USA,2026-07-03T18:00Z
87,760500,1/16决赛,,2026-07-04T06:00:00+08:00,2026-07-04,06:00,周六,Argentina,阿根廷,Cape Verde,佛得角,Argentina vs Cape Verde,阿根廷 vs 佛得角,,,,pre,未开赛,"Fri, July 3rd at 6:00 PM EDT",Hard Rock Stadium,"Miami Gardens, Florida",USA,2026-07-03T22:00Z
